winery,wine_name,wine_type,wine_country,average_rating,num_of_ratings,wine_price,grapes,alcohol_content,reviews
Frank Family,Chardonnay 2018,White wine,United States,4.2,748,24.99,100% Chardonnay,14.4,"Napa chardonnay that tastes like it's from Burgundy. Dry and crisp. Touch of oak. Pears and apples. Top NAPA chardonnay for me Cheers y'all,Classic Cali buttery chardonnay. Butterscotch And toffee prominent but not overwhelming. A nicely balanced very enjoyable chardonnay.,Butterscotch and vanilla on the nose. On the tongue more vanilla and butterscotch plus some nectarine and green apple. Smooth finish with oak overtones. A very enjoyable California chardonnay."
Muratie,Amber Forever 2016,Dessert wine,South Africa,4.2,42,,Muscat of Alexandria,16.3,"An elegant dessert wine that is less sweet and has less alcohol content than most.. Pale lemon in colour.. Medium intensity on the nose with raisin, lychee, pineapple, rose petals and dried apricot.. Palate is more juicy than most dessert wines with dried fruit, baked tree fruit and subtle honey with floral and nutty notes.. Less sweet than most dessert wines and perfectly balaced acidity.. Very long linger.. Made from classic hanepoot grapes...,I have found a desert wine that I like! I am not big on sweet wines, but this one is less sweet and has a hint of acidity that ads a bit of crispness. It has a smooth raisin and honey palate, with just a hint of citrus. Lovely 🙂,Wow 🤩 some strange fruit in here 🤡 am I tasting quamquat? 🙀 did I even spell that right?! 😂 along side some more conventional honey 🍯 raisin and even bits of cocoa 🍫 Tricia’s 22 birthday party 🥳 🎂 she loved the portrait of Amber on the bottle 💃🏾 and we had a 30 minute conversation about prostitution 😆"
Château Suduiraut,Lions de Suduiraut Sauternes 2011,Dessert wine,France,3.8,288,22,"Sauvignon Blanc, Sémillon",,"Already darn tasty with room to grow. I've tried the '09 a couple of times and really enjoyed it. This '11 was a similar experience, but it seemed a bit smoother and less viscous than the '09. Although a touch less viscous, that does not mean a dip in quality. This '11, to me, showed more intense flavors with a little less sweetness. With that, it still tasted a little tightly wound, but time in the cellar should prove beneficial to acid and sugar integration. An inexpensive but solid wine for the price.,This is an interesting vintage, 2011. Great acidity and alcohol, not so sweet. Which means well balanced. Perfect to drink with friends in a hot/cold day with gorgonzola cheese. Drink cold and let it breathe for a while. Nice one.,Very good sweet wine, with noble rot used as the sweetener. Aromas of raisin, sultana, marmalade, honey and mushroom. These scents develop further with stone fruits and dry fruits on the palate. Nice medium plus finish."
Pahlmeyer,Jayson Sauvignon Blanc 2018,White wine,United States,4.2,60,32.99,100% Sauvignon Blanc,13.8,"Delicious Sauvignon. A little on the lighter side but Lots of tropical fruit, pineapple and citrus. Follows with a bit of spice and vanilla. Tasted a lot like a Sancerre to me.,This SB is a fave. It is barrel-fermented in neutral French oak, which adds a fantastic weight and smooths out the acidity. Tons of grassy grapefruit and citrus but. I tartness. I love it.,4.1 Great SB. Melon, apricot, white peach, wet stone, lemon. Medium plus body, fruity nose and finish. Would buy this again - $32.99 ABV - 13.8%"
Domaine Le Galantin,Bandol Rosé 2019,Rosé wine,France,4.1,43,21.95,"Grenache, Mourvedre, Cinsault",,"We climbed the Golden Cap today, the highest point on England’s south coast, steep & with spectacular views on a beautiful sunny day. What better reward than a Bandol rosé, this being 50/25/25 Mourvèdre/Cinsault/Grenache. Pale pink. M+ aroma intensity w. wild strawberry, red cherry, white blossom & lemon peel. Summer berry fruit & pink grapefruit. Youthful. Dry. Fleshy w. low tannin, m+ alc, m+ acid, summer red berries & cream to a m+ rewarding finish w. a dash of cream soda & red & yellow cherry. Lovely.,An explosion of delicious fruit, apricot, grapefruit, not sweet, some minerality, just goes down like a beautiful spring day.,Everything that’s good about a Bandol, creamy, strawberries and raspberries, but dry as a bone with a good kick (14%!!)"
Reichsgraf von Kesselstatt,Scharzhofberger Riesling Spatlese 2015,Dessert wine,Germany,4.2,57,27.71,100% Riesling,7.5,"Lemon, honey, apricot, and really nice petrol on the nose. On the palate, lemon and honey and apricot and oil. Light and sweet, with enough acidity and a moderate-length finish.,Well balanced and harmonious with a thorough fruitiness. Ripe apples, minerals, some exotic notes. Very traditional!,I really enjoyed this German Riesling slight petroleum smell with golden raisins honey apricot. Great balance and mouth feel"
Peyrassol,Commanderie de Peyrassol Côtes de Provence Rosé 2019,Rosé wine,France,4.2,379,26,"Shiraz/Syrah, Cinsault, Grenache",,"Perfectly example of light and refreshing Provençal rosé. Lovely notes of orange blossom and white strawberry.,Lovely bottle of rose with a spice finale ! Not a usual taste for a rose but it is quite exceptional in this bottle. Beautiful pale colour from the cote de provence. Mi encanta .,Not a big rosé fan but this one is really impressive. Under-ripe strawberry, white peach, raspberry, nectarine, lemon peel, grapefruit. My only gripe is that the finish is nonexistent."
Château Gravas,Sauternes 2016,Dessert wine,France,4.1,191,32,100% Sémillon,13.5,"Lovely pale golden colour. Aromas of honey, peach, lemon and waxy tropical fruit. Mouthwatering acidity. Silky mouthfeel with a long and sweet finish.,The wine shows a lovely pale golden color with deep golden highlights. Round and well-balanced offering complex aromas of candied fruits backed up by a hint of exotic fruit (mango, guava) and white flowers. On the palate, it is ample and fleshy, leading into a silky and long finish.,Sauternes 🇫🇷 Sémillon, Sauvignon Blanc 🍇 Gravas is an old castle, founded in 1789. Its name comes from ""graves"", a gravelly soil that perfectly suits the production of Sauternes wines. Deep yellow color Nose: honey, peach, apricot, orange zest, a hint of saffron and exotic fruit Palate: candied apricot, honey, orange, caramel, marzipan, mango, passion fruit 🎆 Rich and relatively complex. Very good balance. Good length.🔝 Very good value for 23 €. ABV 13% 4.3/5 🏆"
Willm,Gewürztraminer Clos Gaensbroennel Grand Cru 2016,White wine,France,4.2,27,31.99,100% Gewürztraminer,,"Dumb good gewurtz,Mildly sweet nectar and I can say tastes like grape (I don’t think I have ever used this as a description) with just a tad sour note. Clean and crisp.,Simply the best Grand Cru Gewurtztraminer under $50. It is balanced and complexed. It morphs on your palate in several interesting ways. It initially shows fruit but instantly changes to a drier mineral style and then comes a Long beautiful harmonious finish."
Santero,Moscato & Pineapple N.V.,Sparkling wine,Italy,4.1,49,12.99,100% Moscato Bianco,,"Very good. Will use with mimosas,Not as sweet as I was expecting, but definitely had the light effervescence that I was craving!,Very tasty - pineapple but unrecognizable"
Lini 910,Labrusca Lambrusco Bianco N.V.,Sparkling wine,Italy,4.0,993,18.99,100% Lambrusco,,"Refreshing nose of green apple with berry palate and brisk bubbles. Paired beautifully with cheese puffs and chips for a kickback aperitif.,Black fruits, blackberries. Tart, white acidic and dry although acid drops off with blackberries and soft minerals. Tasty. Medium body"
Les Maitres Vignerons de la Presqu'ile de Saint-Tropez,Fleur de Mer Rosé 2019,Rosé wine,France,4.1,1072,17.94,100% Grenache,,"A birthday gift wine. Super refreshing on a hot 96 degree beach day. Watermelon, peach, citrus and lavender. Very good!,Very light pink color. Different from Napa Rose but better. Kind of tart with a hint of green apple. Better than the last two rose.,Tasty! Orange zest and wild strawberry on the nose. White peach and strawberry on the palate. Acid in check, present but not over the top. Really enjoyed this."
Emilio Moro,Tinto 2018,Red wine,Spain,4.2,1958,28.50,100% Tempranillo,14.5,"Beautiful Tempranilo of Ribera del duero. Dark purple red, on the nose black berry, leather and chewing gum. Decanted 1 hour prior, richness of cherry, vanilla, oak and hint of apricot, mint.. beautiful after some hours of decant and rest.,Delicious Ribera delicious Duero. A bit too young for my liking, but decanting properly made the wine accessible. Nose of acidity, blackberry, cherry, earthy, plum, oak and leather. Taste of blackberry and plum, well balanced with soft tannis after decanting 2 hours. Long finish. Should cellar the wine for 5 more year...too impatient to try!,Enjoyable Tempranillo but still too young. Dry, medium bodied, high tannins, with pronounced black fruit and leather taste notes."
Dow's,Fine Tawny Port N.V.,Fortified Wine,Portugal,3.7,3601,14.95,"Touriga Nacional, Touriga Franca, Tinta Roriz",,"Clear, intense garnet Healthy nose; intense raisin, prune and fig Palate sweet, low acid, full body, high alcohol, long finish w flavors of raisin and prune"
Bellavista,Alma Cuvée Brut N.V.,Sparkling wine,Italy,3.9,5019,29.99,"Pinot Nero, Chardonnay",12.5,"What's better than one bottle of Bellavista Franciacorta? Two bottles! 😍 After a tasting of some tannic Italian reds this refreshing sparkler really hit the spot!,92 Points, drink now until 2020. Medium pale yellow. Scents of apples, pears and citrus with mandarin leaves and fresh chiabatta bread. Perfectly balanced with fresh acidity and light body, finishing medium. From Demi. Sboccatura 2014.,One of my bottles last night. This Franciacorta got the thumbs up from the gang who thought it was a Mesnil. My first taste of this vivacious juice and I was very impressed with its vibrant, clean, crisp, mouthwatering acidity. Apples, lemons, peaches with bready yeasty notes. A perfect way to conclude a bubbly April Fools tasting!"
Smith-Madrone Winery & Vineyards,Riesling 2016,White wine,United States,4.2,107,37.99,100% Riesling,,"Excellent. Lime, underripe nectarine, green pear, and green apple. Mild saline minerality. Vibrant acidity. Well integrated.,Best CA Riesling I’ve ever tasted. Phenomenal and a blend of Mosel and Alsatian in style, but with more alcohol %. Notes of rubber, lime, honey, nectarine. 🤤,1st of 3 selections tasted tonight as part of vinNebraska Virtual Tasting fundraiser benefiting Omaha Public Schools Foundation, hosted by President Mark Gudgel attended with Nat 4/17/2021. Classic Dry Riesling is the wine maker, Stuart Smith's, favorite, especially this vintage. Founded in 1971 at top of Spring Valley Mountain. Run with his brother Charles. Steep dry farmed vineyard with red & rocky volcanic Aiken stoney clay soil. Coupled with cool temps creates intense flavor, structure & lon"
Domaines Bunan,Mas de la Rouvière Rosé 2019,Rosé wine,France,4.0,29,27.99,"Mourvedre, Cinsault, Grenache",,"The new vintage of a Bandol rosé that I buy every year. I don't usually try it this young, lockdown + heatwave = pressure on rosé supplies. I'm liking the primary fruity energy. Apricot skin colour. Generous ripe red berry fruit, with blossom, melon and grapefruit. The palate is less austere, mineral and savoury than normal, I'm not sure if this is the vintage or the stage of development. Breadth, bitterness, herbs, a touch of spice. Dry but not bone dry, medium acidity. Classy wine, and very drinkable.,Light orange. Nose of wild strawberry and cantaloupe. Some herbal notes. Organic and hand harvested. Red fruits and wild herbs. Fresh. Good length. Very nice.,Watermelon, cantaloupe, honey and minerals, tastes like summer."
Cloudy Bay,Sauvignon Blanc 2019,White wine,New Zealand,4.2,6817,29.99,100% Sauvignon Blanc,,"2019 ! So fresh! So much pineapple, passion fruit and mango! Grass is soft and balanced and finishes with lime zest in a perfect smooth finale. A return to form for this legendary NZ sauv blanc producer if you ask me!,Pale Lemon Colour with blossoms and accacia, elderflower, peach and concentrated citrus. Apples and bell pepper with flint and wet stone,Pale Lemon color and so aromatic. Pine and grapefruit aromas with lemon. High acid with passion fruit and grapefruit palate. Very refreshing."
Quinta do Infantado,Tawny Porto Medium Dry N.V.,Fortified Wine,Portugal,3.8,959,16.95,"Touriga Francesa, Touriga Nacional",19.5,"Quite good, not expecting to like it. Sweetness is balanced with flavor and alcohol. Only notice burn of alcohol on first gulp. Berries, oak.,Lovely drier style non-vintage tawny port with bright red fruit, a hint of nuttiness, and caramel tones. Still quite young tasting for a tawny.,Nice. Caramel. Blackberry compote with vanilla custard, dates. Nutty, touch of wood on the end. Slightly muddy red color. Great."
Tyler,Rosé of Pinot Noir 2017,Rosé wine,United States,4.0,28,29.99,100% Pinot Noir,,"Floral, mineral, lean, racy acidity, mild rosemary. Fruity, dry, high acid, crisp. Very tasty stuff.,2018 vintage"
Tikal,Amorío Malbec 2015,Red wine,Argentina,4.2,1517,26.99,100% Malbec,,"👃 raspberry, cherry pie, baking spices, fresh cracked black pepper 👄 dark stone fruit, fresh black cherry, bright long finish,Good Malbec blend. Good structure. Plum, blackberries with oak and earthy. Medium tanins in right balance. A good finish. Good,Great Malbec! Very smooth and great fruit...bought this having tasted the Bonarda of the same producer and it did not disappoint"
Allimant-Laugner,Crémant d'Alsace Rosé N.V.,Sparkling wine,France,4.1,2452,22.95,100% Pinot Noir,12.5,"Appearance:light salmon colour Nose: attractive aromas of red berries and citrus Palate: it has a high acidity, fine bubbles showing notes of grapefruit, raspberries and cherries. Long aftertaste,I love this more and more every time I drink it. At this price point, I’m officially declaring it the beverage of spring/summer 2019."
Catena Alta,Malbec 2016,Red wine,Argentina,4.3,2238,35.65,100% Malbec,,"Powerfully aromatic wine, bursting with fruit and oak/vanilla Lovely purple hue Dry bold flavours of pepper and dark cherry,Dark ruby color with nose of black berry raspberry and vanilla. Full and smooth body with taste of lavender Sandalwood and blackberry.,Need to try it again on its own but was well loved in our NYE blind tasting with Tignanello, Guigal, Muga, and other big wines"
Domaine Carneros,Brut 2016,Sparkling wine,United States,4.1,410,29.95,"53% Chardonnay, 47% Pinot Noir",12.5,"Beautiful bottle! Just popped this open for my birthday today. Pear aromas on the nose. Green apple and creamy notes. Hints of brioche. Delicious! 🍾,Color is light yellow with a tinge of green. Loads of medium-size bubbles! Nose is fresh bread with hints of pear. Initial palate is juicy yellow apple and more pear. End palate has toasty hazelnut. The subtleness of these flavors is very nuanced as bubbles release their magic! This is why I love vintage sparkling wines: bouquet on the nose combines with taste on the tongue and they both come together at the top of the glass. Only bubblies do this! I’d drink this with everything and anything, always!,Holy Smokes! This is amazing! Has to be one of my favorite sparkling wines to date. Such crispness and acidity. Love the green apple tartness and the bubbles/fizziness is incredible. Goes down a little too easy, but I’d drink this again and again. Amazing. Love the bouquet, love the taste, love the bubbles. What a wonderful treat in a bottle. Domaine Carneros is owned by the French Taittinger and it shows. The magic of Chardonnay and Pinot Noir are fantastic."
Álvaro Domecq,Aranda Cream N.V.,Fortified Wine,Spain,3.8,200,15.99,"Palomino, Pedro Ximenez",18.5,"The only point it is not a Xeres but rather Muscat, would be fline as a digestive after late supper with meat in a company of a good cigar,Blend of Palomino and Pedro Ximenez, aged in old American oak. Nutty, creamy with notes of raisins, caramel, cheese, fruitcake. Sweet, warm, full-bodied,Tawny looking in the glass, it starts off tasting slightly nutty but then turns in to coffee. Add to that, a sweetness to the glass. I'm not a sherry fan but this is delicious"
J Vineyards,Chardonnay 2018,White wine,United States,4.2,102,27.99,100% Chardonnay,14.3,"Class in a glass. Subtle oak. Mild cream. Well pronounced and rounded apples and pear. Big fan of this wine because it’s got everything I like swinging together in good rhythm. Good one to lay back on the couch with.,Another great year. Crisp yet rich with full flavor and good finish. A little pricy but worth the price,4.4 Colour: Deep yellow, green edge. On the nose: High intensity, lovely bit of oxidation, carmel, pure ripe fruit, white flowers, butterscotch, buerre noisette, wett stones. On the palate: medium acid, creamy, smokey, salted brioche, carmel, extremely rich. Finish: a mouthwatering long complex finish, very creamy but pure and precise"
Le Domaine d'Henri,Chablis Premier Cru 'Fourchaume' 2016,White wine,France,4.2,48,38.99,100% Chardonnay,,"French delight, absolutely lovely Chardonay. Perfectly balanced, fruity, fresh with great complexity. Apples, citrus, salt, stone and minerals. Will have it again. Perfectly paired with creamy riceotto.,Aromatic, oaky, biscuit, lime, ananas. Complex and layered. Tropic fruits. High minerality, acidity. Buttery. A little oaky.,Deep lemon color. Med. flavor intensity on the nose with mainly citrus aromas and slight peppery flavors. Dry, high acidity, med. alcohol, med. body and med. flavor intensity on the palate. Med+ finish and here we have a decent chablis."
Aphros,Phaunus Pet Nat 2017,Sparkling wine,Portugal,4.0,363,30,100% Loureiro,,"Very dry and racy. Reminds me almost of traditional method but lacking a bit of the rounded leesy note love of champagne method. Good minerality, seashell, chalk. 91+ easy,Dinner at Prado in Lisbon! Ancestral method pet nat made with Loureiro in Vinho Verde! Racy and super mineral! Lime zest, green apple, chalk, peach, sourdough, yeast and a touch of mango on the nose. Stone, minerality, salt, lemon, more green apple and yeast on the palate. Medium finish. Very good.,Granny Smith apples on the nose, with faint hints of bread, herbs and honey. Granny Smith apples on the palate make it tart but acidity is low—just enough to give it some brightness. A little wet stone too. Interesting winemaker too—so dedicated to natural production this line is made without even electricity!"
Proprieta Sperino,Rosa del Rosa Rosato 2020,Rosé wine,Italy,4.2,31,19.99,100% Nebbiolo,,"Medium orange colour. Medium (-) nose with peach, nectarine, red currant, orange, wet stone and cranberry. Medium taste of strawberry, orange, red currant, cranberry, mushrooms and wet stone. Long and dry finish. High acidity. Medium body. A very good Piedmont Rosé with a floral and fruity, yet dry mouthfeel. Needed half an hour in the glass to open up, preferably a wide one. Drink now. Goes well with poultry, pork or salads.,Rose from Saturday wine tasting at Swigg - great!,Not usually fan of Italian rosé, but this was great!!"
Quinta do Crasto,Late Bottled Vintage Port 2014,Fortified Wine,Portugal,4.1,168,25.95,,,"4.2 ~ 92% ($14.95) 👍 Recommended! Quinta do Crasto 🇵🇹 2014 skinny mini 🔥. Great blend of grapes 🍇 that pop dark berry, smooth sweetness (105 gs/20% abv). One of the best tasting port I’ve tried yet. Took the maestro Vlad Isak ‘s advice and gave these 375 ml minis another shot! Good intel 😉. Great port ~ great price!,Solid sweet Portuguese red. Chocolate and raisins. Strong hints of blackberry and surprisingly (somewhat sweet and aged) blueberry.,6 O’Clock?! Time for Port 🥳🥳🥳"
Liquid Geography,Rosado 2018,Rosé wine,Spain,4.0,155,12.99,100% Mourvedre,12.5,"Cheap, lift, dry, and a great rose value. Not much body and structure. Hard to find but order it at the tapas restaurant Barcelona all the time!,Wow! Pale pink color with surprisingly vibrant nose— strawberry, rhubarb, and red currant. In the mouth, there are similar fruit flavors with a hint of white pepper. The wine is light bodied with bright acidity. It is beautiful on its own, but would also go nicely with a cheese plate or fish.,This is a perfect summer rosé - lots of nice berry and citrus flavor.....very refreshing and lovely."
Quinta de Santa Eufémia,10 Years Old Tawny Porto N.V.,Fortified Wine,Portugal,3.9,280,24.99,"Touriga Franca, Tinta Roriz, Tinta Barroca, Tinta Amarela, Tinta Cão, Touriga Nacional",,"Very good 10 Years Old Tawny Port, bottled in 2015, a medium brown color, with orange and amber hues. Aromas of nuts, hazelnut, baked almonds, dried fruit, quince liquor, confit fruits, sweet spices. Very elegant wine, full body, smooth, dense, vibrant with a very lingering finish.,Light tawny 10 compared to for example Taylor's tawny 10. Tasted better ones, but very drinkable. Solid tawny 10!,Port og Unika oste... I like"
Quinta da Romaneira,Fine Ruby Port N.V.,Fortified Wine,Portugal,3.8,675,18.99,100% Tempranillo,,"Fruity style without alcohol overhead - bit of tealike tannins, raisin, red and black forrest fruits. @Onno Misset, Delfgauw.,Very good port from Douro. 100% Tempranillo, 19,5% alc. Cherries, vanilla, nutmeg, cassis and honeycomb aromas and flavors"
Castiglion del Bosco,Chardonnay Toscana 2018,White wine,Italy,4.2,203,26.99,100% Chardonnay,12.5,"A leaner style of Chardonnay with a light body and a touch of oak. The nose offers up some green apples, grapefruit, vanilla, and a hint of coconut. Excellent value as this was 23 euro off a restaurant wine list. Very refreshing and paired excellent with the pear and pecorino salad, and green chilies, burrata cream spaghetti,Great white wine for a warm day. Serve cold, goes great with seafood. Hints of citrus and green apple,A bright star gold in the glass. Aromas of citrus, green apple, and maybe some buttery notes. Very crisp and refreshing. Medium bodied, medium + acidity."
Grgich Hills,Chardonnay 2017,White wine,United States,4.3,413,35.99,100% Chardonnay,13.5,"Fruit forward with grippy lemon and a structured undercarriage of oak, honey, light minerality, and pear. One of the finest CA Chardonnay.,One of my favorite whites. Crisp, citrus, lightly sweet, tart. Lasting finish of tropical fruits. Soft honey and some minerality.,4.3. One of the classic Napa Chardonnay’s. Much higher quality than Rombauer IMO. Lemon, peach, banana, and almonds carry the flavor load here. This can be aged too!"
Maynard's,10 Years Old Aged Tawny Porto N.V.,Fortified Wine,Portugal,3.8,613,22.95,"Tinta Roriz, Tinto Cao, Tinta Barroca, Touriga Nacional, Touriga Franca",,"4.2 Latvia 🇱🇻 Top 100 wine parade 25.11.2017. Gold medal, 8 place. Dark chocolate, prunes, figs, raisins, smoke, honey, caramel- savory in one word.👌👍 Very rounded taste. Long aftertaste.,Excellent Port for the price, lots of dark fruit flavours including plum, raisins, fig and fruit cake, with almonds and vanilla too."
Romerhof,Trittenheim Beerenauslese 2009,Dessert wine,Germany,3.7,39,15.99,100% Sylvaner,,"If you drink it and exaggerated tiny glasses you will not notice the intense sweetness that is attacking your taste buds. It's delicious. but if drank in mass quantities, you'd probably go into a diabetic coma. excellent dessert wine.,Nice notes of apple and candies pear. Flavors of honey and even sherry, without the acidity. Tasty.,Fruity, great dessert wine"
Patrick Piuze,Val de Mer Brut Nature Rosé N.V.,Sparkling wine,France,4.1,258,27.99,100% Pinot Noir,,"Light with some surprising intensity of flavors at the same time. Not too sweet yet not dry this is a really nice rose. One of my favorites.,Pink sun sets lucious lowcid lucid gentle brute rose pinot noir chablis bliss Ginger cherry peach playtime travel,Medium bodied, dark pink color, fruity/floral nose, lemon finish. I may drink this whole bottle by myself tonight 🍾🥳"
Schramsberg,Blanc de Noirs Brut 2016,Sparkling wine,United States,4.1,228,34.99,100% Pinot Noir,,"Super smooth. Yellow apple and macadamia nut. Creme brûlée / creme brulee. Starfruit and kiwi finish. Well-balanced. Goes down so well.,Crisp honeysuckle...light citrus, subtle earthy notes with mild strawberry notes. Dry finish with good bubbles, great sparkling for any occasion.,So crisp and refreshing especially for the mini beach vacation. Pale yellow color. Delicious notes of apples, pears and citrus. Loving Schramsberg Bubblies!"
Belle Glos,Eulenloch Pinot Noir 2017,Red wine,United States,4.4,166,60,100% Pinot Noir,15.3,"Awesome bottle. Very rich with deep berries. Black berry aroma with hint of sweeter berry. Well balanced, medium tannins medium acidity.,Minerals, dark cherry and fruits. So smooth. Appropriately decanting wine has changed my wine game significantly. I disliked the underling offering Clark & Telephone from Belle Glos. This wine however is a smoke show!,Well structured wine with combination of red and black fruit aroma. Then the taste, super smooth with the blackberries up front, balanced exquisitely with cedar box and undertones of red licorice. What is really impressive is the finish just keeps going on and on. Belle Glos does it again!"
Domaine des Baumard,Côteaux du Layon Carte d'Or 2014,Dessert wine,France,4.0,249,23.99,Chenin Blanc,,"The appearance is clear medium gold. The nose is youthfull and is aromatic with aromas of honey, peach,apricot, little green or mineral hint. The palate is medium sweet, medium - full bodied, smooth acidity, good balance, flavourful with flavours of apricot, peach, honey, bit exotic. Very good interaction and balance between sweetness and acidity! Medium finish. 12%. Wijngenoten, Maarssen.,Great balance off sweetness and acidity. Good level of fruit and citrus. Chenin Blanc features remain very present.,Golden wine, peach, apricot. Great desert wine, love ir!"
Acre,Cabernet Sauvignon 2016,Red wine,United States,4.4,30,35.69,100% Cabernet Sauvignon,,"Deep dark purple in color. Notes of blackberry, black cherry, black licorice, a touch of mocha, oak, leather, and wet earthy notes. Fantastic wine.,Generalized dark fruit, Cedar, vanilla, oak, dry-ish, full body, on the palate it falls beautifully without being astringent, great expression of a cab,A black cherry color, clear wine, lots of fast legs, plum, cherry and vanilla on the nose, acidity medium, tannins are round but a little bit high, chocolate, some tobacco on palate, dry, long finish"
Eroica,Gold Riesling 2014,White wine,United States,4.2,74,31.99,,,"Sweet vine ripened peaches dripping with juice. Well made and balanced but just lacking the depth to push it to the next level. Hot vintage I think is playing a part in holding this back.,Lush flavours of orange marmalade with a crisp finish.,Bailey didn’t like it"
Belle Glos,Oeil de Perdrix Pinot Noir Blanc Rosé 2019,Rosé wine,United States,4.1,288,17.99,100% Pinot Noir,12.9,"Strawberry and watermelon. My favorite Rose so far. But I’m limited it the Rose department. But I should have expected it. Everything from this winery is awesome.,Drank this with Whispering Angel & Rock Angel. Preferred this Pinot Noir Blanc, very nice indeed. Will have to drink again & add flavor notes.,4.3⭐️ Crisp, Pinot Noir Blanc, slightly acidic, with notes of strawberry, melon and oak.. I’m also really happy to know that proceeds from every bottle sold goes towards finding a cure for cancer!"
Pico Maccario,Piemonte Lavignone Rosato 2019,Rosé wine,Italy,4.1,118,17.99,100% Barbera,13.5,"A faint blush of pink carries the flavours of watermelon and strawberries with a hint of pear drops. This wine just speaks of summer and long evenings on the terrace.,Pale pink quartz color. Sweet watermelon jolly rancher nose. Medium body, medium high acid. Braeburn apple, cinnamon, pineapple, anfmd watermelon.,Beautiful pink shade with wonderful hints of strawberry and watermelon. This wine is no lightweight and stands up nicely with lamb or pork."
Vie di Romans,Dessimis Pinot Grigio 2018,White wine,Italy,4.3,419,29.99,100% Pinot Gris,,"Slightly pink Colour. More than a hint of vanilla and oak. Toasted hazelnuts and rhubarb jam. Quite a acidic finish. Mistake to drink cooled. Wait. This is a serious wine. Yes man.,So, pink. Surprisingly. Nose on butter, but, like, slightly off. I like the idea of orange blossom. Wonderful taste: cream, butter, vanilla, yoghurt ice cream. Excellent wine,9m contact on lees A: light bronze N: mature pear, quince, some honey, canned peach M: honey, mature white fruits OA: super good acidity, great complexity.. an excellent orange"
Prats & Symington (P+S),Post Scriptum (de Chryseia) Douro 2018,Red wine,Portugal,4.2,1349,26.99,100% Touriga Nacional,13.5,"First thing you notice with this one is the amazing aroma! When you try it you are definitely not disappointed either: all the right elements are there for a well rounded full body red,Wow - i love this wine! Plum and blackberries on the nose and om the palate, deep purple in colour. Well balanced and smooth with medium length. Oaky with a spicy finish. Lovely wine! 🍷,4,3⭐️ hits the spot. Complex and dense Douro red with intense aromas of cooked strawberry and cherry, oak and vanilla (obviously) but also quite strong aromas of rubber, licorice, eucalyptus and other balsamic hints. Executed par excellence!"
Marc Brédif,Vouvray Blanc 2017,White wine,France,4.2,42,19.99,100% Chenin Blanc,,"Medium bodied white with flint, kiwi fruit and under-ripe apricot. A delicate acid spine, topped off with a round, sweet finish,Warm white peach and honeysuckle nose with just a hint of petrol or oil. Palate similar, off-dry to demi-sec, medium+ body, medium- acidity,honey lemon butter 3.6"
Riondo,Giuliana Prosecco N.V.,Sparkling wine,Italy,4.0,321,16.99,100% Glera,,"This is my favorite Prosecco to date - dry, fizzy, small, teeny bubbles, unripened pear and toast with a simple clean mineral finish.,7th Anniversary! Commissary in Downtown Dallas. Liked it. Moderately dry, even crisp, with nice citrus fruit notes. Would buy again.,Color: light yellow, bubbles, medium viscosity On the nose: pears On the palette: Dry, hints of sweetness, pears, elegant, Finish: smooth Patio Prosecco- on its own"
Lustau,San Emilio Pedro Ximenez N.V.,Fortified Wine,Spain,4.1,360,37.99,100% Pedro Ximenez,,"4.3🌟Backlog from LV 🇱🇻 TOP101 wine parade, 24.11.2018. Just quick notes. 🏅 14 place. Wow, 400g RS!!!😁😀🤔 Dark brown color, super sticky and dense. Raisins, dried figs&dates, honey, caramel, toffee, burned sugar, syrupy, touch of prunes&chocolate. Very long ultra sweet aftertaste, which sticks to your teeth and mouth!,This wine has cola-colour, extreme viscosity and higly caramelised sour plum jam or raisins flavour. Very sweet and oxidised.,Super wine. Color is brown orange. Smell of raisins, syrup, nuts and other dried fruits. Extremely intense taste and mouthfeel. 5-5-5 wine"
M. Chapoutier,Banyuls 2014,Fortified Wine,France,3.8,44,34.99,100% Grenache,16.5,"A sweet red! My first encounter with a sweet red for dessert. Had chocolate sphere for dessert, which went very well with this wine.,Grenache from Banyuls. The maceration is long with an addition of alcohol to favor the extraction of aromas and tannins. Aged In oak casks and steel vats from 18 to 36 months. Aromas of blackberry, plum, raisins, baking spice and some floral notes with flavors of chocolate and pepper. Sweet tannins, super savory finish.,Nice fortified wine that sips like a tawny port. Enjoyed with chocolate cake. 91 pts"
Domaines Ott,By.Ott Rosé 2018,Rosé wine,France,3.9,1771,21.99,100% Cinsault,,"60% Grenache, 30% Cinsault, 6% Syrah, 4% Mourved Perfectly balanced wine. Rose wine as it should be. Dry, crispy, great aftertaste .,Nice and fruity Rose On the Nose : peach ,apricot mixed with passion fruit and mango. On the palate: Clean, fresh and crisp .,Very nice rose with berry: raspberry and strawberry and some fruits taste: watermelon and even mango touch! Crispy enough and very light!"
